CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 1S2,Scarborough,Ontario,ON,43.7991,-79.2292,6
CA,M1B 1S3,Scarborough,Ontario,ON,43.8002,-79.2286,6
CA,M1B 1S4,Scarborough,Ontario,ON,43.8017,-79.2266,6
CA,M1B 1S5,Scarborough,Ontario,ON,43.7986,-79.2304,6
CA,M1B 1S6,Scarborough,Ontario,ON,43.8024,-79.2107,6
CA,M1B 1S7,Scarborough,Ontario,ON,43.7989,-79.2363,6
CA,M1B 1S8,Scarborough,Ontario,ON,43.7988,-79.2363,6
CA,M1B 1S9,Scarborough,Ontario,ON,43.8013,-79.2281,6
CA,M1B 1T1,Scarborough,Ontario,ON,43.8139,-79.2385,6
CA,M1B 1T2,Scarborough,Ontario,ON,43.7997,-79.2368,6
CA,M1B 1T3,Scarborough,Ontario,ON,43.8,-79.2364,6
CA,M1B 1T4,Scarborough,Ontario,ON,43.8138,-79.2284,6
CA,M1B 1T5,Scarborough,Ontario,ON,43.8137,-79.2306,6
CA,M1B 1T6,Scarborough,Ontario,ON,43.8137,-79.2306,6
CA,M1B 1T7,Scarborough,Ontario,ON,43.8143,-79.2337,6
CA,M1B 1T8,Scarborough,Ontario,ON,43.8142,-79.2341,6
CA,M1B 1T9,Scarborough,Ontario,ON,43.812,-79.2335,6
CA,M1B 1V1,Scarborough,Ontario,ON,43.813,-79.2343,6
CA,M1B 1V2,Scarborough,Ontario,ON,43.8138,-79.2361,6
CA,M1B 1V3,Scarborough,Ontario,ON,43.8111,-79.2342,6
CA,M1B 1V4,Scarborough,Ontario,ON,43.8108,-79.2353,6
CA,M1B 1V5,Scarborough,Ontario,ON,43.8089,-79.2331,6
CA,M1B 1V6,Scarborough,Ontario,ON,43.8135,-79.2316,6
CA,M1B 1V7,Scarborough,Ontario,ON,43.8136,-79.2316,6
CA,M1B 1V8,Scarborough,Ontario,ON,43.8134,-79.2305,6
CA,M1B 1V9,Scarborough,Ontario,ON,43.8129,-79.2303,6
CA,M1B 1W1,Scarborough,Ontario,ON,43.8112,-79.2325,6
CA,M1B 1W2,Scarborough,Ontario,ON,43.8116,-79.2308,6
